Type	Primary content	Secondary content	Additional content	Inclusion condition	Answer type	Varible name	Variable label	Answers	extra param
question		 I mødet med nye studiekammerater, har det så nogen betydning for et eventuelt venskab og samarbejde, at personen ikke er af samme køn som dig selv?<br>At en studiekammerat ikke er af samme køn, som mig har 			radio	a8	homophily_sex	 stor positiv betydning for et evt. venskab og samarbejde; lille positiv betydning for et evt. venskab og samarbejde; ingen betydning for et evt. venskab og samarbejde; lille negativ betydning for et evt. venskab og samarbejde; stor negativ betydning for et evt. venskab og samarbejde; ved ikke 	
question		 I mødet med nye studiekammerater, har det så nogen betydning for et eventuelt venskab og samarbejde, at personen har haft samme opvækst som dig?<br>At en studiekammerat har haft samme opvækst som dig betyder: 			radio	a9	homophily_upbringing	 noget positivt for et evt. venskab og samarbejde; intet for et evt. venskab og samarbejde; noget negativt for et evt. venskab og samarbejde; ved ikke 	
question		Har nogle af følgende områder i personens opvækst betydning for et eventuelt venskab eller samarbejde?	Sæt gerne flere krydser.	homophily_upbringing=='noget positivt for et evt. venskab og samarbejde' | 'noget negativt for et evt. venskab og samarbejde' 	checklist	a9a	homophily_upbringing_family	 Familiens økonomiske baggrund; Familiens uddannelsesmæssige baggrund; Familiens politiske tilhørsforhold; Etnisk oprindelse; Religion; Ingen af disse områder har betydning  	1
question		Her bedes du vurdere din evne til at kunne klare faglige udfordringer:			grid	a10	self_efficacy	Helt uenig; Uenig; Hverken enig eller uenig; Enig; Helt enig	
subquestion		 Normalt er jeg i stand til at løse svære, faglige opgaver, hvis jeg prøver hårdt nok 			radio	a10a	self_efficacy_problems	Helt uenig; Uenig; Hverken enig eller uenig; Enig; Helt enig	
subquestion		 Jeg ved, at jeg kan holde fast i og nå mine mål på mit studie 			radio	a10b	self_efficacy_goal	Helt uenig; Uenig; Hverken enig eller uenig; Enig; Helt enig	
subquestion		 Jeg ved, at jeg kan bevare roen til eksamen, fordi jeg har viden nok til at løse opgaverne 			radio	a10c	self_efficacy_calm	Helt uenig; Uenig; Hverken enig eller uenig; Enig; Helt enig	
subquestion		 Jeg ved, at jeg kan bestå eksamen, hvis jeg arbejder hårdt nok i løbet af semesteret 			radio	a10d	self_efficacy_pass	Helt uenig; Uenig; Hverken enig eller uenig; Enig; Helt enig	
subquestion		 Mottoet ‘hvis andre kan, så kan jeg også’ passer på mig, når det gælder mit studie 			radio	a10e	self_efficacy_motto	Helt uenig; Uenig; Hverken enig eller uenig; Enig; Helt enig	
question		 Hvor vigtig er din faglige karriere for dig i forhold til andre ting i dit liv såsom venner, familie, fritid? 			radio	a11	ambition_career	 Min faglige karriere er klart det vigtigste; Min faglige karriere er nok lidt mere vigtig end andre ting; Min faglige karriere er lige så vigtig som andre ting; Min faglige karriere er nok ikke lige så vigtig som andre ting; Andre ting er klart vigtigere en min faglige karriere; ved ikke 	
question		Hvor meget betyder dine karakterer for dig?			radio	a12	ambition_mark	 Mine karakterer er meget vigtige for mig; Mine karakterer er vigtige for mig; Mine karakterer er ikke så vigtige for mig; Jeg er helt ligeglad med hvilke karakterer jeg får; Ved ikke 	
question		 Hvor vigtige tror du, at dine karakterer på det første år, er for det job du godt kunne tænke dig, når du er færdig med uddannelsen? 			radio	a13	ambition_job	 Det er afgørende at jeg får rigtig gode karakterer for at kunne få det job jeg gerne vil have; Det er muligvis vigtigt at jeg får gode karakterer for at kunne få det job jeg gerne vil have; Mine karakterer på første år er nok ikke særligt vigtige for at jeg kan få det job jeg gerne vil have; Mine karakterer på første år betyder slet ikke noget for at jeg kan få det job jeg gerne vil have; Jeg ved ikke hvilket job jeg kunne tænke mig efter uddannelsen; Ved ikke 	
question		 Tænk på din adgangsgivende uddannelse til DTU (Gymnasiet, HTX, HHX, HF, VUC…). Hvor vil du placere dig selv i klassen på den adgangsgivende uddannelse med hensyn til faglig begavelse?<br>Jeg var: 			radio		homophily_talent	 Blandt de allerklogeste; I den klogere halvdel; Omtrent som gennemsnittet; I den mindre kloge halvdel; Blandt de allermindst kloge; Selvstuderende/havde ingen klasse 	
question		 Tænk på din adgangsgivende uddannelse til DTU (Gymnasiet, HTX, HHX, HF, VUC…). Hvor vil du placere dig selv i klassen på den adgangsgivende uddannelse med hensyn til flittighed?<br>Jeg var: 			radio		homophily_diligence	 Blandt de allerflittigste; I den flittigere halvdel; Omtrent som gennemsnittet; I den mindre flittige halvdel; Blandt de allermindst flittige; Selvstuderende/havde ingen klasse 	
question		 Hvordan tror du, at du kommer til at placere dig på dit hold på DTU med hensyn til faglig begavelse?<br>Jeg tror, at jeg kommer til at være: 			radio		homophily_talent_dtu	 Blandt de allerklogeste; I den klogere halvdel; Omtrent som gennemsnittet; I den mindre kloge halvdel; Blandt de allermindst kloge 	
question		 Hvordan tror du, at du kommer til at placere dig på dit hold på DTU med hensyn til flittighed?<br>Jeg tror, at jeg kommer til at være: 			radio		homophily_diligence_dtu	 Blandt de allerflittigste; I den flittigere halvdel; Omtrent som gennemsnittet; I den mindre flittige halvdel; Blandt de allermindst flittige 	
question		 Tænk på din adgangsgivende uddannelse til DTU (Gymnasiet, HTX, HHX, HF, VUC…). Hvor vurderer du andres opfattelse af dig selv i din klasse på den adgangsgivende uddannelse?<br>Jeg var:  			radio		homophily_popularity	 Blandt de allermest populære; I den mere populære halvdel; Omtrent som gennemsnittet; I den mindre populære halvdel; Blandt de allermindst populære; Selvstuderende/havde ingen klasse 	
question		 Hvordan tror du, at du kommer til at placere dig på dit hold på DTU?<br>Jeg tror at jeg kommer til at være: 			radio		homophily_popularity_dtu	 Blandt de allermest populære; I den mere populære halvdel; Omtrent som gennemsnittet; I den mindre populære halvdel; Blandt de allermindst populære 	
header		Nu følger nogle spørgsmål om familie og venner.				a14_h	social_relation		
question		 Hvor ofte er du sammen med nogle af følgende personer, som <u>du ikke bor sammen med?</u> 			grid	a14	contact	Flere dage om ugen; Ca. én gang om ugen; Én til tre gange om måneden; Sjældnere end én gang om måneden; Aldrig; Har ingen; bor sammen med	
subquestion		Kæreste/ægtefælle			radio	a14a	contact_partner	Flere dage om ugen; Ca. én gang om ugen; Én til tre gange om måneden; Sjældnere end én gang om måneden; Aldrig; Har ingen; bor sammen med	
subquestion		Mor			radio	a14b	contact_mother	Flere dage om ugen; Ca. én gang om ugen; Én til tre gange om måneden; Sjældnere end én gang om måneden; Aldrig; Har ingen; bor sammen med	
subquestion		Far			radio	a14c	contact_father	Flere dage om ugen; Ca. én gang om ugen; Én til tre gange om måneden; Sjældnere end én gang om måneden; Aldrig; Har ingen; bor sammen med	
subquestion		Søskende			radio	a14d	contact_zieblings	Flere dage om ugen; Ca. én gang om ugen; Én til tre gange om måneden; Sjældnere end én gang om måneden; Aldrig; Har ingen; bor sammen med	
subquestion		Øvrig familie			radio	a14e	contact_other_familily	Flere dage om ugen; Ca. én gang om ugen; Én til tre gange om måneden; Sjældnere end én gang om måneden; Aldrig; Har ingen; bor sammen med	
subquestion		Venner			radio	a14f	contact_friends	Flere dage om ugen; Ca. én gang om ugen; Én til tre gange om måneden; Sjældnere end én gang om måneden; Aldrig; Har ingen; bor sammen med	
question		 Hvor ofte har du kontakt med nogle af følgende personer, uden at du ser dem (f.eks. telefon, breve, e-mail, sms)? 			grid	a15	electronic_contact	Flere dage om ugen; Ca. én gang om ugen; Én til tre gange om måneden; Sjældnere end én gang om måneden; Aldrig; Har ingen	
subquestion		Kæreste/ægtefælle			radio	a15a	electronic_contact_partner	Flere dage om ugen; Ca. én gang om ugen; Én til tre gange om måneden; Sjældnere end én gang om måneden; Aldrig; Har ingen	
subquestion		Mor			radio	a15b	electronic_contact_mother	Flere dage om ugen; Ca. én gang om ugen; Én til tre gange om måneden; Sjældnere end én gang om måneden; Aldrig; Har ingen	
subquestion		Far			radio	a15c	electronic_contact_family	Flere dage om ugen; Ca. én gang om ugen; Én til tre gange om måneden; Sjældnere end én gang om måneden; Aldrig; Har ingen	
subquestion		Søskende			radio	a15d	electronic_contact_zieblings	Flere dage om ugen; Ca. én gang om ugen; Én til tre gange om måneden; Sjældnere end én gang om måneden; Aldrig; Har ingen	
subquestion		Øvrig familie			radio	a15e	electronic_contact_other_family	Flere dage om ugen; Ca. én gang om ugen; Én til tre gange om måneden; Sjældnere end én gang om måneden; Aldrig; Har ingen	
subquestion		Venner			radio	a15f	electronic_contact_friends	Flere dage om ugen; Ca. én gang om ugen; Én til tre gange om måneden; Sjældnere end én gang om måneden; Aldrig; Har ingen	
question		 Vil nogle af følgende personer kunne hjælpe dig praktisk i hverdagen, hvis du har brug for det?  			grid	a16	help	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Kæreste/ægtefælle			radio	a16a	help_partner	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Mor			radio	a16b	help_mother	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Far			radio	a16c	help_father	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Søskende			radio	a16d	help_zieblings	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Øvrig familie			radio	a16e	help_other_family	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Venner			radio	a16f	help_friends	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
question		 Vil du kunne tale godt med nogle af følgende personer, hvis du har brug for støtte?  			grid	a17	talk	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Kæreste/ægtefælle			radio	a17a	talk_partner	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Mor			radio	a17b	talk_mother	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Far			radio	a17c	talk_father	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Søskende			radio	a17d	talk_zieblings	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Øvrig familie			radio	a17e	talk_other_family	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Venner			radio	a17f	talk_friends	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
question		 Oplever du i din hverdag, at der er nogle af følgende personer, der kræver for meget af dig?  			grid	a18	demands	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Kæreste/ægtefælle			radio	a18a	demands_partner	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Mor			radio	a18b	demands_mother	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Far			radio	a18c	demands_father	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Søskende			radio	a18d	demands_zieblings	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Øvrig familie			radio	a18e	demands_other_family	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Venner			radio	a18f	demands_friends	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
question		 Oplever du i din hverdag, at nogle af følgende personer gør dig alvorligt bekymret?  			grid	a19	worries	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Kæreste/ægtefælle			radio	a19a	worries_partner	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Mor			radio	a19b	worries_mother	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Far			radio	a19c	worries_father	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Søskende			radio	a19d	worries_zieblings	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Øvrig familie			radio	a19e	worries_other_family	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Venner			radio	a19f	worries_freinds	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
question		Oplever du i din hverdag konflikter med nogle af følgende personer? 			grid	a20	conflicts	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Kæreste/ægtefælle			radio	a20a	conflicts_partner	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Mor			radio	a20b	conflicts_mother	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Far			radio	a20c	conflicts_father	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Søskende			radio	a20d	conflicts_zieblings	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Øvrig familie			radio	a20e	conflicts_other_family	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
subquestion		Venner			radio	a20f	conflicts_friends	Altid; Ofte; Af og til; Sjældent; Aldrig; Har ingen	
question		 De følgende sætninger beskriver nogle udsagn om menneskers personlighed. Brug skalaerne til at angive, hvordan du vurderer, de enkelte udsagn beskriver dig. Vurder dig selv som du mener, du generelt er nu, ikke som du ville ønske, du er i fremtiden.<br>Jeg ser mig selv, som en der: 			grid	a21	bfi	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		er snakkesalig			radio	a21a	bfi_talk	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		ofte finder fejl ved andre			radio	a21b	bfi_error	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		gør sit arbejde grundigt			radio	a21c	bfi_work	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		 er deprimeret, nedtrykt 			radio	a21d	bfi_depressed	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		 er original, kommer med nye ideer 			radio	a21e	bfi_original	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		er reserveret			radio	a21f	bfi_reserved	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		er hjælpsom og uselvisk overfor andre			radio	a21g	bfi_helpfull	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		kan være noget skødesløs			radio	a21h	bfi_careless	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		 er afslappet, god til at håndtere stress 			radio	a21i	bfi_relaxed	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		er nysgerrig og interesseret i mange forskellige ting			radio	a21j	bfi_currious	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		er fuld af energi			radio	a21k	bfi_energi	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		kommer op at skændes med andre			radio	a21l	bfi_fight	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		er en pålidelig arbejdskraft			radio	a21m	bfi_reliable	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		kan være anspændt			radio	a21n	bfi_tense	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		tænker kreativt og grundigt			radio	a21o	bfi_creative	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		ofte vækker begejstring			radio	a21p	bfi_enthusiasm	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		har let ved at tilgive			radio	a21q	bfi_forgive	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		ofte er ustruktureret			radio	a21r	bfi_disorderly	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		bekymrer sig meget			radio	a21s	bfi_worry	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		har en livlig fantasi			radio	a21t	bfi_imagination	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		ofte er stille			radio	a21u	bfi_quiet	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		almindeligvis er tillidsfuld			radio	a21v	bfi_confident	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		er tilbøjelig til at være doven			radio	a21w	bfi_lazy	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		 er følelsesmæssigt stabil, ikke let at bringe ud af ligevægt  			radio	a21x	bfi_stable	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		er opfindsom			radio	a21y	bfi_inventive	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		har en selvsikker og stærk personlighed			radio	a21z	bfi_strong_personality	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		kan være kold og distanceret			radio	a21aa	bfi_cold	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		holder ved indtil en opgave er fuldført			radio	a21ab	bfi_hold_on	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		er uligevægtig og nedtrykt			radio	a21ac	bfi_unbalanced	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		 værdsætter kunstneriske, æstetiske oplevelser 			radio	a21ad	bfi_art	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		 nogle gange er genert, hæmmet 			radio	a21ae	bfi_shy	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		er omsorgsfuld og venlig over for næsten alle			radio	a21af	bfi_caring	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		er effektiv 			radio	a21ag	bfi_effective	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		bevarer roen i anspændte situationer			radio	a21ah	bfi_calm	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		foretrækker rutinearbejde			radio	a21ai	bfi_rutine	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		 er udadvendt, social 			radio	a21aj	bfi_social	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		nogle gange er uforskammet over for andre			radio	a21ak	bfi_rude	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		lægger planer og får dem gennemført			radio	a21al	bf_complet	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		let bliver nervøs			radio	a21am	bfi_nervous	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		godt kan lide at tænke over tingene og lege med ideer			radio	a21an	bfi_play	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		har få kunstneriske interesser			radio	a21ao	bfi_few_art	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		kan lide at samarbejde med andre			radio	a21ap	bfi_coorporation	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		let lader sig distrahere			radio	a21aq	bfi_distract	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
subquestion		 har en forfinet smag inden for kunst, musik eller litteratur 			radio	a21ar	bfi_taste_art	Meget uenig; Uenig; Hverken enig eller uenig; Enig; Meget enig	
question		 De følgende sætninger beskriver, hvordan man nogle gange har det. Angiv hvor ofte du har det som beskrevet.  			grid	a22	loneliness	Aldrig; Sjældent; Sommetider; Altid	
subquestion		 Hvor ofte føler du, at du er på   bølgelængde   med dem, du er sammen med?  			radio	a22a	loneliness_wavelength	Aldrig; Sjældent; Sommetider; Altid	
subquestion		 Hvor ofte føler du, at du savner nogen at være sammen med? 			radio	a22b	loneliness_miss	Aldrig; Sjældent; Sommetider; Altid	
subquestion		 Hvor ofte føler du, at der ikke er nogen du kan henvende dig til? 			radio	a22c	loneliness_turn_to_no	Aldrig; Sjældent; Sommetider; Altid	
subquestion		Hvor ofte føler du dig alene?			radio	a22d	loneliness_alone	Aldrig; Sjældent; Sommetider; Altid	
subquestion		Hvor ofte føler du dig som en del af en vennegruppe?			radio	a22e	lonelinessfriends_	Aldrig; Sjældent; Sommetider; Altid	
subquestion		 Hvor ofte føler du, at du har meget til fælles med dem, du er sammen med? 			radio	a22f	loneliness_common	Aldrig; Sjældent; Sommetider; Altid	
subquestion		 Hvor ofte føler du, at du ikke længere er tæt på nogen som helst? 			radio	a22g	loneliness_close_no	Aldrig; Sjældent; Sommetider; Altid	
subquestion		 Hvor ofte føler du, at dine interesser og ideer ikke deles af dem, du er sammen med? 			radio	a22h	loneliness_ideas	Aldrig; Sjældent; Sommetider; Altid	
subquestion		Hvor ofte føler du dig udadvendt og venskabelig?			radio	a22i	loneliness_outgoing	Aldrig; Sjældent; Sommetider; Altid	
subquestion		Hvor ofte føler du dig tæt på andre?			radio	a22j	loneliness_close	Aldrig; Sjældent; Sommetider; Altid	
subquestion		Hvor ofte føler du dig udenfor?			radio	a22k	loneliness_outside	Aldrig; Sjældent; Sommetider; Altid	
subquestion		 Hvor ofte føler du, at dine forhold til andre ikke er meningsfulde? 			radio	a22l	loneliness_meaningful	Aldrig; Sjældent; Sommetider; Altid	
subquestion		 Hvor ofte føler du, at ingen rigtig kender dig godt? 			radio	a22m	loneliness_know	Aldrig; Sjældent; Sommetider; Altid	
subquestion		Hvor ofte føler du dig isoleret fra andre?			radio	a22n	loneliness_isolated	Aldrig; Sjældent; Sommetider; Altid	
subquestion		 Hvor ofte føler du, at du kan finde nogen at være sammen med, når du har lyst til det? 			radio	a22o	loneliness_together	Aldrig; Sjældent; Sommetider; Altid	
subquestion		 Hvor ofte føler du, at der er nogen, der virkelig forstår dig? 			radio	a22p	loneliness_understand	Aldrig; Sjældent; Sommetider; Altid	
subquestion		Hvor ofte føler du dig genert?			radio	a22q	loneliness_shy	Aldrig; Sjældent; Sommetider; Altid	
subquestion		 Hvor ofte føler du, at der er folk omkring dig, men ikke sammen med dig? 			radio	a22r	loneliness_people_around	Aldrig; Sjældent; Sommetider; Altid	
subquestion		 Hvor ofte føler du, at der er nogen, du kan tale med? 			radio	a22s	loneliness_talk_to	Aldrig; Sjældent; Sommetider; Altid	
subquestion		 Hvor ofte føler du, at der er nogen, du kan henvende dig til? 			radio	a22t	loneliness_turn_to	Aldrig; Sjældent; Sommetider; Altid	
question		 Sker det nogensinde, at du er alene, selvom du har mest lyst til at være sammen med andre? 			radio	a23	involuntary_alone	 Ja, ofte; Ja, engang imellem; Ja, men sjældent; Nej 	
header		De følgende spørgsmål handler om dit helbred.				a24_h	health		
question		Hvor høj er du uden sko?			number	a24	height	_____cm	70; 250
question		Hvad vejer du uden tøj?			number	a25	weight	_____kg	30; 250
question		 Hvordan synes du, dit helbred er alt i alt? 			radio	a26	selfreported_health	Fremragende; Vældig godt; Godt; Mindre godt; Dårligt	
question		 I løbet af de sidste 30 dage, hvor mange dage har du været helt ude af stand til, at udføre dine sædvanlige aktiviteter eller dit arbejde på grund af dit helbred? 			number	a41h	function_activity	Angiv antallet af dage _____	0; 30
question		Har du indenfor de <u>sidste 14 dage</u> været generet af nogle af de her nævnte former for smerter og ubehag? Var du meget eller lidt generet af det?			grid	a27	symptoms	 Nej; Ja, lidt generet; Ja, meget generet 	
subquestion		Smerter/ubehag i skulder/nakke			radio	a27a	symptoms_shoulder	 Nej; Ja, lidt generet; Ja, meget generet 	
subquestion		Smerter/ubehag i ryg og lænd			radio	a27b	symptoms_back	 Nej; Ja, lidt generet; Ja, meget generet 	
subquestion		 Smerter/ubehag i arme, ben, knæ, hofter eller led 			radio	a27c	symptoms_leg	 Nej; Ja, lidt generet; Ja, meget generet 	
subquestion		Hovedpine			radio	a27d	symptoms_headache	 Nej; Ja, lidt generet; Ja, meget generet 	
subquestion		Hurtig hjertebanken			radio	a27e	symptoms_palpitation	 Nej; Ja, lidt generet; Ja, meget generet 	
subquestion		 Ængstelse, nervøsitet, uro, angst 			radio	a27f	symptoms_anxiety	 Nej; Ja, lidt generet; Ja, meget generet 	
subquestion		 Søvnbesvær, søvnproblemer 			radio	a27g	symptoms_sleep	 Nej; Ja, lidt generet; Ja, meget generet 	
subquestion		 Nedtrykthed, deprimeret, ulykkelig 			radio	a27h	symptoms_depressed	 Nej; Ja, lidt generet; Ja, meget generet 	
subquestion		Træthed			radio	a27i	symptoms_tired	 Nej; Ja, lidt generet; Ja, meget generet 	
subquestion		 Mavesmerter, ondt i maven 			radio	a27j	symptoms_stomachache	 Nej; Ja, lidt generet; Ja, meget generet 	
subquestion		 Fordøjelsesbesvær, tynd/hård mave 			radio	a27k	symptoms_indigestion	 Nej; Ja, lidt generet; Ja, meget generet 	
subquestion		 Eksem, hududslet, kløe 			radio	a27l	symptoms_eczema	 Nej; Ja, lidt generet; Ja, meget generet 	
subquestion		 Forkølelse, snue, hoste 			radio	a27m	symptoms_cold	 Nej; Ja, lidt generet; Ja, meget generet 	
subquestion		 Åndedrætsbesvær, forpustethed  			radio	a27n	symptoms_breath	 Nej; Ja, lidt generet; Ja, meget generet 	
